24
0,1,223
0,9,181
0,13,222
1,0,223
1,14,222
1,21,206
2,3,222
2,13,210
3,2,222
3,4,197
3,14,209
4,3,197
4,5,537
4,11,210
5,4,537
5,6,542
5,12,206
6,5,542
6,7,210
6,19,277
7,6,210
7,8,222
7,12,543
7,17,279
8,7,222
8,15,177
8,18,271
8,20,543
9,0,181
9,10,428
10,9,428
10,16,528
10,21,183
11,4,210
11,12,534
11,14,199
11,21,223
12,5,206
12,7,543
12,11,534
12,20,224
13,0,222
13,2,210
13,14,225
14,1,222
14,3,209
14,11,199
14,13,225
15,8,177
15,16,544
15,22,267
16,10,528
16,15,544
16,20,180
17,7,279
17,18,221
17,19,208
17,23,390
18,8,271
18,17,221
18,22,180
18,23,173
19,6,277
19,17,208
20,8,543
20,12,224
20,16,180
20,21,528
21,1,206
21,10,183
21,11,223
21,20,528
22,15,267
22,18,180
23,17,390
23,18,173
